国家,出发,到达,航司,航班号,班期,备注
印度,德里,北京,国航,CA948,周二,8.4 起，太原入境
印度,德里,上海,东航,MU564,周五,8.7 起
尼泊尔,加德满都,广州,南航,CZ6068,周六,8.22 起（暂定）
尼泊尔,加德满都,成都,国航,CA438,周日,8.23 起（暂定）
孟加拉国,达卡,广州,南航,CZ392,周四,须提供五日内核酸检测证明
孟加拉国,达卡,广州,优速,BS325,周六,须提供五日内核酸检测证明
巴基斯坦,卡拉奇、伊斯兰堡,北京,国航,CA946,周五,西安入境，须提供五日内核酸检测证明
斯里兰卡,科伦坡,上海,东航,MU232,周五,
