国家,出发,到达,航司,航班号,班期,备注
阿联酋,迪拜,北京,国航,CA942,周五,7.24 起，西安入境，转机须提供 72 小时内核酸检测证明
阿联酋,迪拜,广州,阿联酋航,EK362,周六,7.25 起，转机须提供 72 小时内核酸检测证明
阿联酋,阿布扎比,上海,阿提哈德,EY862,周一,7.27 起
卡塔尔,多哈,广州,卡航,QR874,周日,7.26 起
沙特阿拉伯,利雅得,广州,沙特航,SV884,周四,7.23 起，须提供 5 日内核酸检测证明
伊朗,德黑兰,广州,马汉,W5081,周一,7.20 起，须提供 5 日内核酸检测证明
埃及,开罗,成都、北京,川航,3U8392,周五,成都入境，须提供 5 日内核酸检测证明
埃及,开罗,广州,埃及航,MS958,周四,7.23 起，须提供 5 日内核酸检测证明
埃塞俄比亚,亚的斯亚贝巴,上海,埃塞航,ET684,周一,
